# c0-circularity,c0-dist_max,c0-dist_min,c0-dist_ratio,c0-irregularity,c0-irregularity2,c0-n2_avg,c0-n2_stddev,c0-n2_wavg,c0-n2_wdist,c0-n2_wiavg,c0-n_avg,c0-n_stddev,c0-n_wavg,c0-n_wdist,c0-n_wiavg,c0-perimeter,c0-roisize
1.571176290512084961e+00,1.788854408264160156e+01,5.000000000000000000e+00,2.795085012912750244e-01,6.867150664329528809e-01,1.167867183685302734e-01,5.215159606933593750e+01,2.451689720153808594e+01,5.021584960937500000e+03,1.083297882080078125e+02,2.369298934936523438e+00,9.245212554931640625e+01,5.254050064086914062e+01,8.669470703125000000e+03,1.083297882080078125e+02,4.365796566009521484e+00,1.080000000000000000e+02,3.760000000000000000e+02
1.620384335517883301e+00,1.802775573730468750e+01,4.242640495300292969e+00,2.353393584489822388e-01,6.751137375831604004e-01,9.200019389390945435e-02,6.786046600341796875e+01,3.439561462402343750e+01,6.296896484375000000e+03,1.025555572509765625e+02,2.925081491470336914e+00,1.035245513916015625e+02,6.048359680175781250e+01,9.451836914062500000e+03,1.025555572509765625e+02,4.575189113616943359e+00,1.130000000000000000e+02,3.870000000000000000e+02
1.540743827819824219e+00,1.802775573730468750e+01,5.000000000000000000e+00,2.773500978946685791e-01,6.665233373641967773e-01,8.335048705339431763e-02,9.393862152099609375e+01,5.221618270874023438e+01,8.604928710937500000e+03,1.025652160644531250e+02,4.043898105621337891e+00,1.055242996215820312e+02,6.726162719726562500e+01,9.495097656250000000e+03,1.025652160644531250e+02,4.646423339843750000e+00,1.080000000000000000e+02,3.910000000000000000e+02
1.553095936775207520e+00,1.655294609069824219e+01,4.472136020660400391e+00,2.701716125011444092e-01,6.217054724693298340e-01,6.633377820253372192e-02,3.693714141845703125e+01,1.922574424743652344e+01,2.869408691406250000e+03,8.323428344726562500e+01,1.818515419960021973e+00,1.004457168579101562e+02,6.452027893066406250e+01,7.673399902343750000e+03,8.323428344726562500e+01,5.155014038085937500e+00,1.030000000000000000e+02,3.500000000000000000e+02
1.698893308639526367e+00,1.886796188354492188e+01,3.605551242828369141e+00,1.910938322544097900e-01,7.881702780723571777e-01,1.014355644583702087e-01,4.546630859375000000e+01,2.176498031616210938e+01,4.593177734375000000e+03,1.106819381713867188e+02,1.960972070693969727e+00,1.010997314453125000e+02,6.035111999511718750e+01,9.971563476562500000e+03,1.106819381713867188e+02,4.528235912322998047e+00,1.160000000000000000e+02,3.710000000000000000e+02
1.585434317588806152e+00,1.780449295043945312e+01,2.000000000000000000e+00,1.123311892151832581e-01,5.774229764938354492e-01,6.772332638502120972e-02,3.173239517211914062e+01,1.259873867034912109e+01,3.188323974609375000e+03,1.096713638305664062e+02,1.060212373733520508e+00,1.126338043212890625e+02,5.737219619750976562e+01,1.102400976562500000e+04,1.096713638305664062e+02,3.809040546417236328e+00,1.160000000000000000e+02,4.260000000000000000e+02
1.418173432350158691e+00,1.627882003784179688e+01,5.000000000000000000e+00,3.071475625038146973e-01,5.314500927925109863e-01,6.123908609151840210e-02,4.221842193603515625e+01,2.131265449523925781e+01,3.407442138671875000e+03,9.018157958984375000e+01,1.992093205451965332e+00,9.584999847412109375e+01,5.493143844604492188e+01,7.613062988281250000e+03,9.018157958984375000e+01,4.644975185394287109e+00,9.800000000000000000e+01,3.800000000000000000e+02
1.634131193161010742e+00,1.655294609069824219e+01,2.828427076339721680e+00,1.708715260028839111e-01,7.575103044509887695e-01,1.032032817602157593e-01,2.817114067077636719e+01,1.386372756958007812e+01,2.065661132812500000e+03,8.268791961669921875e+01,1.379708170890808105e+00,1.001577148437500000e+02,5.990558242797851562e+01,7.143040039062500000e+03,8.268791961669921875e+01,5.023224353790283203e+00,1.000000000000000000e+02,2.980000000000000000e+02
1.470893502235412598e+00,1.676305389404296875e+01,4.000000000000000000e+00,2.386199980974197388e-01,7.035808563232421875e-01,1.028374508023262024e-01,2.825846099853515625e+01,1.336411857604980469e+01,2.270335449218750000e+03,9.341846466064453125e+01,1.486764311790466309e+00,9.623076629638671875e+01,5.774576187133789062e+01,7.391874023437500000e+03,9.341846466064453125e+01,5.368145942687988281e+00,9.400000000000000000e+01,3.250000000000000000e+02
2.008143901824951172e+00,2.193171310424804688e+01,3.605551242828369141e+00,1.643989831209182739e-01,8.922863602638244629e-01,1.918672323226928711e-01,4.418693542480468750e+01,2.320025062561035156e+01,6.655916503906250000e+03,1.650247802734375000e+02,1.655146241188049316e+00,9.030855560302734375e+01,5.633887863159179688e+01,1.335767578125000000e+04,1.650247802734375000e+02,3.513619422912597656e+00,1.500000000000000000e+02,4.440000000000000000e+02
1.577330589294433594e+00,2.024845695495605469e+01,5.000000000000000000e+00,2.469324022531509399e-01,7.936266660690307617e-01,1.105980128049850464e-01,6.152955245971679688e+01,2.836088371276855469e+01,6.146721191406250000e+03,1.179952697753906250e+02,2.764780282974243164e+00,1.042765960693359375e+02,5.739851379394531250e+01,1.005287207031250000e+04,1.179952697753906250e+02,4.908298492431640625e+00,1.150000000000000000e+02,4.230000000000000000e+02
1.387351512908935547e+00,1.552417469024658203e+01,4.000000000000000000e+00,2.576626539230346680e-01,7.102690339088439941e-01,8.607810735702514648e-02,4.210791397094726562e+01,2.028753280639648438e+01,2.475248291015625000e+03,6.950719451904296875e+01,2.524267196655273438e+00,9.951078796386718750e+01,5.746332931518554688e+01,5.637647460937500000e+03,6.950719451904296875e+01,6.205323696136474609e+00,8.200000000000000000e+01,2.780000000000000000e+02
1.593284130096435547e+00,1.931320762634277344e+01,2.828427076339721680e+00,1.464504003524780273e-01,6.047631502151489258e-01,6.825973093509674072e-02,1.129875488281250000e+02,5.489214324951171875e+01,1.267978808593750000e+04,1.263319473266601562e+02,4.229326725006103516e+00,1.146887969970703125e+02,6.110570526123046875e+01,1.271168066406250000e+04,1.263319473266601562e+02,4.384178161621093750e+00,1.240000000000000000e+02,4.820000000000000000e+02
